modelo,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_R2_mean
GradientBoosting_log,27991.645943064203,6030.582846200238,16282.063051223322,0.8650799386216738
RandomForest_log,31256.049049864632,4461.966881043455,18475.13928169695,0.8342070931545216
SVR_log,33213.72285619446,6444.0180284481585,17902.17735985823,0.8121484999047357
KNN_log,37728.42917436718,3362.589396122767,22114.93523955096,0.7594419574086451
Ridge_log,42935.82990548272,26027.452490687825,17693.108982723606,0.6061835987413619
